"Постоянная группа,Группа,Кол-во студентов,""Доля в постоянной группе, %"""
ТИУ-2024-11,ТИУ-311,15,53.6
ТИУ-2025-11,ТИУ-111,2,25.0
ТИУ-2025-11,ТИУ-211,6,75.0
ТКИ-2023-41,ТКИ-341,1,2.9
ТКИ-2023-41,ТКИ-441,33,97.1
ТКИ-2024-41,ТКИ-241,33,52.4
ТКИ-2024-41,ТКИ-341,30,47.6
ТКИ-2024-42,ТКИ-242,31,50.8
ТКИ-2024-42,ТКИ-342,30,49.2
ТКИ-2025-42,ТКИ-142,2,50.0
ТКИ-2025-42,ТКИ-242,2,50.0
ТМР-2023-11,ТМР-311,1,6.2
ТМР-2023-11,ТМР-411,15,93.8
ТМР-2024-11,ТМР-211,1,4.0
ТМР-2024-11,ТМР-311,24,96.0
ТМС-2024-11,ТМС-211,1,5.3
ТМС-2024-11,ТМС-311,18,94.7
ТМС-2025-11,ТМС-111,2,7.4
ТМС-2025-11,ТМС-211,25,92.6
ТМХ-2024-11,ТМХ-211,1,5.6
ТМХ-2024-11,ТМХ-311,17,94.4
ТНД-2022-41,ТНД-441,1,10.0
ТНД-2022-41,ТНД-541,9,90.0
ТНД-2023-41,ТНД-341,1,5.6
ТНД-2023-41,ТНД-441,17,94.4
ТПВг-2022-41,ТПВг-441,1,6.2
ТПВг-2022-41,ТПВг-541,15,93.8
ТПВг-2023-41,ТПВг-341,1,3.8
ТПВг-2023-41,ТПВг-441,25,96.2
ТПВг-2024-41,ТПВг-241,7,29.2
ТПВг-2024-41,ТПВг-341,17,70.8
ТПВп-2025-41,ТПВп-141,2,7.7
ТПВп-2025-41,ТПВп-241,24,92.3
ТПЛ-2022-41,ТПЛ-441,1,3.4
ТПЛ-2022-41,ТПЛ-541,28,96.6
ТПЛ-2023-41,ТПЛ-341,2,9.1
ТПЛ-2023-41,ТПЛ-441,20,90.9
ТПЛ-2024-41,ТПЛ-241,1,4.5
ТПЛ-2024-41,ТПЛ-341,21,95.5
ТПЛ-2025-41,ТПЛ-141,4,11.8
ТПЛ-2025-41,ТПЛ-241,30,88.2
ТПР-2024-41,ТПР-241,2,11.8
ТПР-2024-41,ТПР-341,15,88.2
ТПР-2025-41,ТПР-141,4,16.0
ТПР-2025-41,ТПР-241,21,84.0
ТПСу-2021-51,ТПСу-551,1,7.1
ТПСу-2021-51,ТПСу-651,13,92.9
ТПСу-2023-51,ТПСу-351,1,4.0
ТПСу-2023-51,ТПСу-451,24,96.0
ТПСу-2025-51,ТПСу-151,6,20.0
ТПСу-2025-51,ТПСу-251,24,80.0
ТПСу-2025-52,ТПСу-152,4,80.0
ТПСу-2025-52,ТПСу-252,1,20.0
ТПТ-2022-41,ТПТ-441,1,11.1
ТПТ-2022-41,ТПТ-541,8,88.9
ТПТ-2023-41,ТПТ-341,17,45.9
ТПТ-2023-41,ТПТ-441,20,54.1
ТПТ-2024-41,ТПТ-241,28,96.6
ТПТ-2024-41,ТПТ-341,1,3.4
ТПЭ-2023-41,ТПЭ-341,32,65.3
ТПЭ-2023-41,ТПЭ-441,17,34.7
ТПЭ-2024-41,ТПЭ-241,27,96.4
ТПЭ-2024-41,ТПЭ-341,1,3.6
ТСА-2022-41,ТСА-441,1,5.3
ТСА-2022-41,ТСА-541,18,94.7
ТСА-2022-42,ТСА-442,1,5.6
ТСА-2022-42,ТСА-542,17,94.4
ТСА-2023-42,ТСА-342,1,3.7
ТСА-2023-42,ТСА-442,26,96.3
ТСА-2024-41,ТСА-241,21,55.3
ТСА-2024-41,ТСА-341,17,44.7
ТСА-2024-42,ТСА-242,31,53.4
ТСА-2024-42,ТСА-342,27,46.6
ТСА-2025-41,ТСА-141,7,70.0
ТСА-2025-41,ТСА-241,3,30.0
ТСА-2025-42,ТСА-142,2,66.7
ТСА-2025-42,ТСА-242,1,33.3
ТСТ-2023-41,ТСТ-341,1,5.6
ТСТ-2023-41,ТСТ-441,17,94.4
ТСТ-2023-42,ТСТ-242,1,5.6
ТСТ-2023-42,ТСТ-342,3,16.7
ТСТ-2023-42,ТСТ-442,14,77.8
ТСТ-2024-41,ТСТ-241,26,63.4
ТСТ-2024-41,ТСТ-341,15,36.6
ТСТ-2024-42,ТСТ-242,22,56.4
ТСТ-2024-42,ТСТ-342,17,43.6
ТСТ-2025-41,ТСТ-141,5,83.3
ТСТ-2025-41,ТСТ-241,1,16.7
ТСТ-2025-42,ТСТ-142,7,87.5
ТСТ-2025-42,ТСТ-242,1,12.5
ТСЭ-2023-41,ТСЭ-341,2,5.9
ТСЭ-2023-41,ТСЭ-441,32,94.1
ТСЭ-2024-41,ТСЭ-241,3,15.0
ТСЭ-2024-41,ТСЭ-341,17,85.0
ТСЭ-2025-42,ТСЭ-142,3,8.6
ТСЭ-2025-42,ТСЭ-242,32,91.4
ТТП-2023-12,ТТП-312,2,9.5
ТТП-2023-12,ТТП-412,19,90.5
ТТП-2024-11,ТТП-211,2,10.0
ТТП-2024-11,ТТП-311,18,90.0
