Постоянная группа,Группа,Кол-во студентов,"Доля в постоянной группе, %"
СГС-2023-12,СГС-312,3,10.7
СГС-2023-12,СГС-412,25,89.3
СГС-2024-11,СГС-311,27,100.0
СГС-2024-12,СГС-112,1,4.3
СГС-2024-12,СГС-312,22,95.7
СГС-2024-13,СГС-213,2,9.5
СГС-2024-13,СГС-313,19,90.5
СГС-2025-11,СГС-111,1,2.9
СГС-2025-11,СГС-211,34,97.1
СГС-2025-12,СГС-212,33,100.0
СГС-2026-11,СГС-111,35,100.0
СГС-2026-11-1,СГС-111,17,100.0
СГС-2026-12,СГС-112,34,100.0
СГС-2026-13,СГС-113,35,100.0
СГСк-2023-14,СГСк-414,1,100.0
СГСк-2024-14,СГСк-414,14,100.0
СГСк-2025-14,СГСк-314,1,100.0
СГТ-2023-41,СГТ-441,25,100.0
СГТ-2024-41,СГТ-141,1,4.5
СГТ-2024-41,СГТ-341,21,95.5
СГТ-2025-41,СГТ-241,30,100.0
СГТ-2026-41,СГТ-141,33,100.0
СЖД-2021-41,СЖД-541,1,100.0
СЖД-2022-41,СЖД-541,18,100.0
СЖД-2022-42,СЖД-542,19,100.0
СЖД-2022-43,СЖД-343,1,5.6
СЖД-2022-43,СЖД-543,17,94.4
СЖД-2023-41,СЖД-341,3,11.1
СЖД-2023-41,СЖД-441,24,88.9
СЖД-2023-42,СЖД-342,1,4.3
СЖД-2023-42,СЖД-442,22,95.7
СЖД-2023-43,СЖД-343,1,5.0
СЖД-2023-43,СЖД-443,19,95.0
СЖД-2024-41,СЖД-341,25,100.0
СЖД-2024-42,СЖД-342,23,100.0
СЖД-2024-43,СЖД-243,1,4.3
СЖД-2024-43,СЖД-343,22,95.7
СЖД-2025-41,СЖД-141,1,3.2
СЖД-2025-41,СЖД-241,30,96.8
СЖД-2025-42,СЖД-242,29,100.0
СЖД-2025-43,СЖД-243,25,100.0
СЖД-2026-41,СЖД-141,34,100.0
СЖД-2026-42,СЖД-142,35,100.0
СЖД-2026-43,СЖД-143,36,100.0
СЗК-2022-11,СЗК-311,1,100.0
СЗК-2025-11,СЗК-211,28,100.0
СЗК-2026-11,СЗК-111,33,100.0
СКУ-2022-21,СКУ-521,21,100.0
СКУ-2023-21,СКУ-421,23,100.0
СКУ-2024-21,СКУ-221,1,3.6
СКУ-2024-21,СКУ-321,27,96.4
СКУ-2025-21,СКУ-121,1,3.2
СКУ-2025-21,СКУ-221,30,96.8
СКУ-2026-21,СКУ-121,33,100.0
СММ-2021-42,СММ-542,1,100.0
СММ-2022-41,СММ-541,24,100.0
СММ-2022-42,СММ-542,21,100.0
СММ-2022-43,СММ-543,21,100.0
СММ-2022-51,СММ-551,9,100.0
СММ-2023-41,СММ-441,17,100.0
СММ-2023-42,СММ-442,18,100.0
СММ-2023-43,СММ-443,17,100.0
СММ-2024-41,СММ-341,26,100.0
СММ-2024-42,СММ-342,19,100.0
СММ-2024-43,СММ-343,22,100.0
СММ-2025-41,СММ-141,2,6.1
СММ-2025-41,СММ-241,31,93.9
СММ-2025-42,СММ-142,3,9.7
СММ-2025-42,СММ-242,28,90.3
СММ-2025-43,СММ-243,28,100.0
СММ-2026-41,СММ-141,36,100.0
СММ-2026-42,СММ-142,36,100.0
СММ-2026-43,СММ-143,34,100.0
СМТ-2021-41,СМТ-541,1,100.0
СМТ-2021-52,СМТ-652,9,100.0
СМТ-2022-41,СМТ-541,19,100.0
СМТ-2023-41,СМТ-441,9,100.0
СМТ-2024-41,СМТ-341,15,100.0
СМТ-2025-41,СМТ-241,28,100.0
СМТ-2026-41,СМТ-141,36,100.0
СПС-2023-41,СПС-441,14,100.0
СПС-2026-41,СПС-141,35,100.0
СРП-2023-11,СРП-411,8,100.0
СРП-2025-11,СРП-111,2,6.2
СРП-2025-11,СРП-211,30,93.8
СТП-2021-43,СТП-543,1,100.0
СТП-2022-41,СТП-541,18,100.0
СТП-2022-42,СТП-342,1,5.3
СТП-2022-42,СТП-542,18,94.7
СТП-2022-43,СТП-543,20,100.0
СТП-2022-44,СТП-544,21,100.0
СТП-2023-41,СТП-341,2,9.1
СТП-2023-41,СТП-441,20,90.9
СТП-2023-42,СТП-342,1,4.2
СТП-2023-42,СТП-442,23,95.8
СТП-2023-43,СТП-343,1,3.7
СТП-2023-43,СТП-443,26,96.3
СТП-2023-44,СТП-444,17,100.0
СТП-2024-41,СТП-141,1,4.3
СТП-2024-41,СТП-341,22,95.7
СТП-2024-42,СТП-342,21,100.0
СТП-2024-43,СТП-243,2,11.1
СТП-2024-43,СТП-343,16,88.9
СТП-2024-44,СТП-344,22,100.0
СТП-2025-41,СТП-141,1,4.5
СТП-2025-41,СТП-241,21,95.5
СТП-2025-42,СТП-142,3,12.0
СТП-2025-42,СТП-242,22,88.0
СТП-2025-43,СТП-143,1,5.0
СТП-2025-43,СТП-243,19,95.0
СТП-2025-44,СТП-244,15,100.0
СТП-2026-41,СТП-141,37,100.0
СТП-2026-42,СТП-142,37,100.0
СТП-2026-43,СТП-143,37,100.0
ТБЖ-2023-11,ТБЖ-411,17,100.0
ТБЖ-2024-11,ТБЖ-211,1,3.6
ТБЖ-2024-11,ТБЖ-311,27,96.4
ТБЖ-2025-11,ТБЖ-211,26,100.0
ТИУ-2021-11,ТИУ-411,1,100.0
ТИУ-2024-11,ТИУ-211,13,46.4
ТИУ-2024-11,ТИУ-311,15,53.6
ТИУ-2025-11,ТИУ-111,2,25.0
ТИУ-2025-11,ТИУ-211,6,75.0
ТКИ-2020-42,ТКИ-642,17,100.0
ТКИ-2021-41,ТКИ-641,20,100.0
ТКИ-2022-41,ТКИ-541,21,100.0
ТКИ-2023-41,ТКИ-341,1,2.9
ТКИ-2023-41,ТКИ-441,33,97.1
ТКИ-2024-41,ТКИ-241,33,52.4
ТКИ-2024-41,ТКИ-341,30,47.6
ТКИ-2024-42,ТКИ-242,31,50.8
ТКИ-2024-42,ТКИ-342,30,49.2
ТКИ-2025-41,ТКИ-141,2,100.0
ТКИ-2025-42,ТКИ-142,2,50.0
ТКИ-2025-42,ТКИ-242,2,50.0
ТКСк-2025-11,ТКСк-411,33,100.0
ТМР-2022-11,ТМР-411,1,100.0
ТМР-2023-11,ТМР-311,1,6.2
ТМР-2023-11,ТМР-411,15,93.8
ТМР-2024-11,ТМР-211,1,4.0
ТМР-2024-11,ТМР-311,24,96.0
ТМР-2025-11,ТМР-211,30,100.0
ТМР-2025-12,ТМР-212,28,100.0
ТМС-2023-11,ТМС-411,13,100.0
ТМС-2024-11,ТМС-211,1,5.3
ТМС-2024-11,ТМС-311,18,94.7
ТМС-2025-11,ТМС-111,2,7.4
ТМС-2025-11,ТМС-211,25,92.6
